series_id,description,units
PET.MCRIP_R10-NCF_1.M,East Coast (PADD 1) Imports by PADD of Processing from Congo (Brazzaville) of Crude Oil,Mbbl
PET.MCRIP_R10-NDA_1.M,East Coast (PADD 1) Imports by PADD of Processing from Denmark of Crude Oil,Mbbl
PET.MCRIP_R10-NEK_1.M,East Coast (PADD 1) Imports by PADD of Processing from Equatorial Guinea of Crude Oil,Mbbl
PET.MCRIP_R10-NGH_1.M,East Coast (PADD 1) Imports by PADD of Processing from Ghana of Crude Oil,Mbbl
PET.MCRIP_R10-NIV_1.M,East Coast (PADD 1) Imports by PADD of Processing from Ivory Coast (Cote d'Ivore) of Crude Oil,Mbbl
PET.MCRIP_R10-NIZ_1.M,East Coast (PADD 1) Imports by PADD of Processing from Iraq of Crude Oil,Mbbl
PET.MCRIP_R10-NKZ_1.M,East Coast (PADD 1) Imports by PADD of Processing from Kazakhstan of Crude Oil,Mbbl
PET.MCRIP_R10-NLY_1.M,East Coast (PADD 1) Imports by PADD of Processing from Libya of Crude Oil,Mbbl
PET.MCRIP_R10-NMR_1.M,East Coast (PADD 1) Imports by PADD of Processing from Mauritania of Crude Oil,Mbbl
PET.MCRIP_R10-NPE_1.M,East Coast (PADD 1) Imports by PADD of Processing from Peru of Crude Oil,Mbbl
PET.MCRIP_R10-NRS_1.M,East Coast (PADD 1) Imports by PADD of Processing from Russia of Crude Oil,Mbbl
PET.MCRIP_R10-NTS_1.M,East Coast (PADD 1) Imports by PADD of Processing from Tunisia of Crude Oil,Mbbl
PET.MCRIP_R20-ME0_1.M,Midwest (PADD 2) Imports by PADD of Processing from OPEC Countries of Crude Oil,Mbbl
PET.MCRIP_R20-NBR_1.M,Midwest (PADD 2) Imports by PADD of Processing from Brazil of Crude Oil,Mbbl
PET.MCRIP_R20-NBX_1.M,Midwest (PADD 2) Imports by PADD of Processing from Brunei of Crude Oil,Mbbl
PET.MCRIP_R20-NIZ_1.M,Midwest (PADD 2) Imports by PADD of Processing from Iraq of Crude Oil,Mbbl
PET.MCRIP_R30-ME0_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from OPEC Countries of Crude Oil,Mbbl
PET.MCRIP_R30-NAJ_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Azerbaijan of Crude Oil,Mbbl
PET.MCRIP_R30-NBH_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Belize of Crude Oil,Mbbl
PET.MCRIP_R30-NBL_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Bolivia of Crude Oil,Mbbl
PET.MCRIP_R30-NBR_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Brazil of Crude Oil,Mbbl
PET.MCRIP_R30-NCD_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Chad of Crude Oil,Mbbl
PET.MCRIP_R30-NCM_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Cameroon of Crude Oil,Mbbl
PET.MCRIP_R30-NDA_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Denmark of Crude Oil,Mbbl
PET.MCRIP_R30-NEK_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Equatorial Guinea of Crude Oil,Mbbl
PET.MCRIP_R30-NGH_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Ghana of Crude Oil,Mbbl
PET.MCRIP_R30-NGT_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Guatemala of Crude Oil,Mbbl
PET.MCRIP_R30-NIV_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Ivory Coast (Cote d'Ivore) of Crude Oil,Mbbl
PET.MCRIP_R30-NIZ_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Iraq of Crude Oil,Mbbl
PET.MCRIP_R30-NLY_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Libya of Crude Oil,Mbbl
PET.MCRIP_R30-NMR_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Mauritania of Crude Oil,Mbbl
PET.MCRIP_R30-NMU_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Oman of Crude Oil,Mbbl
PET.MCRIP_R30-NNL_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Netherlands of Crude Oil,Mbbl
PET.MCRIP_R30-NPE_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Peru of Crude Oil,Mbbl
PET.MCRIP_R30-NRS_1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Russia of Crude Oil,Mbbl
PET.MCRIP_R50-ME0_1.M,West Coast (PADD 5) Imports by PADD of Processing from OPEC Countries of Crude Oil,Mbbl
PET.MCRIP_R50-NAO_1.M,West Coast (PADD 5) Imports by PADD of Processing from Angola of Crude Oil,Mbbl
PET.MCRIP_R50-NBR_1.M,West Coast (PADD 5) Imports by PADD of Processing from Brazil of Crude Oil,Mbbl
PET.MCRIP_R50-NBX_1.M,West Coast (PADD 5) Imports by PADD of Processing from Brunei of Crude Oil,Mbbl
PET.MCRIP_R50-NEK_1.M,West Coast (PADD 5) Imports by PADD of Processing from Equatorial Guinea of Crude Oil,Mbbl
PET.MCRIP_R50-NGH_1.M,West Coast (PADD 5) Imports by PADD of Processing from Ghana of Crude Oil,Mbbl
PET.MCRIP_R50-NIZ_1.M,West Coast (PADD 5) Imports by PADD of Processing from Iraq of Crude Oil,Mbbl
